фраза;точная;широкая;техника;интент;урал;словоформ
штабелер мини;40;247;штабелёр;прочее;0;4
аккумуляторный штабелер;40;292;штабелёр;запчасти и сервис;0;5
рохля автоматическая;40;109;рохля;прочее;0;2
штабелер 1 т;40;1413;штабелёр;прочее;0;1
штабелер 1500 кг;40;914;штабелёр;прочее;0;2
сколько весит штабелер;40;116;штабелёр;прочее;0;3
короткая рохля купить;40;160;рохля;коммерческий;0;2
электрическая рохля с подъемным;40;606;рохля;прочее;0;2
рохля гидравлическая купить в воронеже;40;56;рохля;коммерческий;0;1
doosan погрузчик вилочный;39;403;вилочный;прочее;0;12
вилочный погрузчик tcm;39;301;вилочный;прочее;0;8
погрузчик вилочный ссср;39;94;вилочный;прочее;0;9
вилочный погрузчик 7 тонн;39;222;вилочный;прочее;0;12
колеса на вилочный погрузчик;39;601;вилочный;прочее;0;5
